order;event;event literal;milliseconds
5;2;Marca Externa 2;1619079840458; NOT SENT TO EEG DUE TO CONFIG
6;1;Marca Externa 1;1619079841457; NOT SENT TO EEG DUE TO CONFIG
7;2;Marca Externa 2;1619079842458; NOT SENT TO EEG DUE TO CONFIG
8;1;Marca Externa 1;1619079843458; NOT SENT TO EEG DUE TO CONFIG
9;2;Marca Externa 2;1619079844458; NOT SENT TO EEG DUE TO CONFIG
10;1;Marca Externa 1;1619079845457; NOT SENT TO EEG DUE TO CONFIG
11;2;Marca Externa 2;1619079846457; NOT SENT TO EEG DUE TO CONFIG
order;event;event literal;milliseconds
0;1;Marca Externa 1;1619089731090; NOT SENT TO EEG DUE TO CONFIG
1;2;Marca Externa 2;1619089732088; NOT SENT TO EEG DUE TO CONFIG
2;1;Marca Externa 1;1619089733089; NOT SENT TO EEG DUE TO CONFIG
3;2;Marca Externa 2;1619089734090; NOT SENT TO EEG DUE TO CONFIG
4;1;Marca Externa 1;1619089735092; NOT SENT TO EEG DUE TO CONFIG
5;2;Marca Externa 2;1619089736094; NOT SENT TO EEG DUE TO CONFIG
6;1;Marca Externa 1;1619089737095; NOT SENT TO EEG DUE TO CONFIG
7;2;Marca Externa 2;1619089738094; NOT SENT TO EEG DUE TO CONFIG
8;1;Marca Externa 1;1619089739095; NOT SENT TO EEG DUE TO CONFIG
9;2;Marca Externa 2;1619089740094; NOT SENT TO EEG DUE TO CONFIG
10;1;Marca Externa 1;1619089741096; NOT SENT TO EEG DUE TO CONFIG
order;event;event literal;milliseconds
0;1;Marca Externa 1;1619090455731; NOT SENT TO EEG DUE TO CONFIG
1;2;Marca Externa 2;1619090456730; NOT SENT TO EEG DUE TO CONFIG
2;1;Marca Externa 1;1619090457731; NOT SENT TO EEG DUE TO CONFIG
order;event;event literal;milliseconds
order;event;event literal;milliseconds
0;1;Marca Externa 1;1622399895838; NOT SENT TO EEG DUE TO CONFIG
1;2;Marca Externa 2;1622399896837; NOT SENT TO EEG DUE TO CONFIG
2;1;Marca Externa 1;1622399897839; NOT SENT TO EEG DUE TO CONFIG
order;event;event literal;milliseconds
order;event;event literal;milliseconds
order;event;event literal;milliseconds
order;event;event literal;milliseconds
order;event;event literal;milliseconds
order;event;event literal;milliseconds
order;event;event literal;milliseconds
order;event;event literal;milliseconds
order;event;event literal;milliseconds
order;event;event literal;milliseconds
order;event;event literal;milliseconds
order;event;event literal;milliseconds
order;event;event literal;milliseconds
order;event;event literal;milliseconds
