order;event;event literal;milliseconds
66;2;Marca Externa 2;1514456583268; NOT SENT TO EEG DUE TO CONFIG
67;2;Marca Externa 2;1514456584269; NOT SENT TO EEG DUE TO CONFIG
68;2;Marca Externa 2;1514456585270; NOT SENT TO EEG DUE TO CONFIG
69;1;Marca Externa 1;1514456586270; NOT SENT TO EEG DUE TO CONFIG
70;2;Marca Externa 2;1514456587270; NOT SENT TO EEG DUE TO CONFIG
71;2;Marca Externa 2;1514456588271; NOT SENT TO EEG DUE TO CONFIG
72;1;Marca Externa 1;1514456589272; NOT SENT TO EEG DUE TO CONFIG
73;2;Marca Externa 2;1514456590273; NOT SENT TO EEG DUE TO CONFIG
74;2;Marca Externa 2;1514456591275; NOT SENT TO EEG DUE TO CONFIG
75;2;Marca Externa 2;1514456592276; NOT SENT TO EEG DUE TO CONFIG
76;1;Marca Externa 1;1514456593276; NOT SENT TO EEG DUE TO CONFIG
77;2;Marca Externa 2;1514456594277; NOT SENT TO EEG DUE TO CONFIG
78;2;Marca Externa 2;1514456595277; NOT SENT TO EEG DUE TO CONFIG
79;1;Marca Externa 1;1514456596278; NOT SENT TO EEG DUE TO CONFIG
80;2;Marca Externa 2;1514456597278; NOT SENT TO EEG DUE TO CONFIG
81;2;Marca Externa 2;1514456598279; NOT SENT TO EEG DUE TO CONFIG
82;2;Marca Externa 2;1514456599280; NOT SENT TO EEG DUE TO CONFIG
83;2;Marca Externa 2;1514456600281; NOT SENT TO EEG DUE TO CONFIG
84;2;Marca Externa 2;1514456601281; NOT SENT TO EEG DUE TO CONFIG
85;2;Marca Externa 2;1514456602281; NOT SENT TO EEG DUE TO CONFIG
86;2;Marca Externa 2;1514456603280; NOT SENT TO EEG DUE TO CONFIG
87;2;Marca Externa 2;1514456604281; NOT SENT TO EEG DUE TO CONFIG
88;2;Marca Externa 2;1514456605280; NOT SENT TO EEG DUE TO CONFIG
89;2;Marca Externa 2;1514456606281; NOT SENT TO EEG DUE TO CONFIG
90;1;Marca Externa 1;1514456607282; NOT SENT TO EEG DUE TO CONFIG
91;2;Marca Externa 2;1514456608282; NOT SENT TO EEG DUE TO CONFIG
92;2;Marca Externa 2;1514456609282; NOT SENT TO EEG DUE TO CONFIG
93;2;Marca Externa 2;1514456610282; NOT SENT TO EEG DUE TO CONFIG
94;2;Marca Externa 2;1514456611283; NOT SENT TO EEG DUE TO CONFIG
95;2;Marca Externa 2;1514456612283; NOT SENT TO EEG DUE TO CONFIG
96;2;Marca Externa 2;1514456613284; NOT SENT TO EEG DUE TO CONFIG
97;1;Marca Externa 1;1514456614284; NOT SENT TO EEG DUE TO CONFIG
98;2;Marca Externa 2;1514456615283; NOT SENT TO EEG DUE TO CONFIG
